"Year","Nominal CPUE","Standard CPUE","CI_low","CI upp"
1996,69.7387960024656,85.3353794472085,73.2130427099308,99.4648865264453
1997,94.7218045112782,107.355514981899,92.0385793301722,125.221474308986
1998,103.367360623527,121.700359927142,103.453735868313,143.165227259158
1999,106.006442261234,131.351187047392,112.153420270195,153.835115301821
2000,126.688807580448,152.494178122403,130.141960317254,178.685447065179
2001,121.551709249574,137.91027721154,119.131704746346,159.648891124822
2002,90.6477482550426,106.750152679536,91.758729129395,124.190855793508
2003,94.486257860436,115.378931315683,98.9870673962107,134.485222582306
2004,89.7371631926792,102.287046476877,87.468641171207,119.615895901295
2005,87.6820210457356,98.2305036342455,83.5526824965546,115.486798938328
2006,109.462662512088,130.36466344885,110.690099088414,153.536274843852
2007,109.714653287019,119.947492079416,101.540607490345,141.6911047879
2008,117.347009457839,136.282506834086,114.178627566873,162.66548359153
2009,112.647299868286,125.669796015548,106.745378003375,147.949240763287
2010,113.881871132144,132.077827117112,110.38529642222,158.033297743324
2011,153.475742574257,175.185830216158,148.756067811549,206.311416804887
2012,146.278045314597,171.635927844328,145.073220031242,203.062231062627
2013,137.013930348259,168.416533600646,142.899476754553,198.490081519166
2014,128.846999363097,133.112637454598,113.425270472787,156.217165506961
2015,140.373658476998,151.61424535591,128.179135752739,179.334017660912
2016,132.41338073691,129.732038233641,110.468885671662,152.354227544927
2017,126.324225170927,117.748347215388,107.765601940124,128.6558328664
2018,137.654991149423,130.302915692514,119.804922875389,141.720802705498
